row_id,column,issue_type
622,order_id,missing
1946,order_id,missing
1535,order_id,missing
228,order_id,missing
125,order_id,missing
1701,order_id,missing
232,order_id,missing
503,order_id,missing
2014,order_id,missing
1858,order_id,missing
1527,order_id,missing
1326,order_id,missing
926,order_id,missing
1247,order_id,missing
1742,order_id,missing
1591,order_id,missing
2188,order_id,missing
149,order_id,missing
1133,order_id,missing
334,order_id,missing
2489,customer_id,missing
1005,customer_id,missing
2139,customer_id,missing
422,customer_id,missing
482,customer_id,missing
2078,customer_id,missing
2108,customer_id,missing
2140,customer_id,missing
835,customer_id,missing
14,customer_id,missing
1651,customer_id,missing
175,customer_id,missing
1529,customer_id,missing
2436,customer_id,missing
243,customer_id,missing
1378,customer_id,missing
10,customer_id,missing
1017,customer_id,missing
615,customer_id,missing
1081,customer_id,missing
1357,status,missing
1183,status,missing
445,status,missing
1291,status,missing
177,status,missing
810,status,missing
1704,status,missing
2458,status,missing
285,status,missing
2232,status,missing
355,status,missing
1633,status,missing
369,status,missing
252,status,missing
593,status,missing
734,payment_method,missing
616,payment_method,missing
945,payment_method,missing
1898,payment_method,missing
1664,payment_method,missing
136,payment_method,missing
145,payment_method,missing
2348,payment_method,missing
709,payment_method,missing
2292,payment_method,missing
873,payment_method,missing
517,payment_method,missing
1387,payment_method,missing
633,payment_method,missing
1506,payment_method,missing
1395,price,missing
178,price,missing
2065,price,missing
2089,price,missing
606,price,missing
2159,price,missing
2050,price,missing
2389,price,missing
2225,price,missing
1978,price,missing
1870,quantity,missing
1693,quantity,missing
1178,quantity,missing
2177,quantity,missing
913,quantity,missing
134,quantity,missing
492,quantity,missing
2393,quantity,missing
364,quantity,missing
711,quantity,missing
1083,order_date,missing
2321,order_date,missing
834,order_date,missing
148,order_date,missing
131,order_date,missing
1277,order_date,missing
1110,order_date,missing
32,order_date,missing
2314,order_date,missing
1992,order_date,missing
559,price,range_violation
671,price,range_violation
1775,price,range_violation
1654,price,range_violation
777,price,range_violation
1467,price,range_violation
851,price,range_violation
1322,price,range_violation
987,price,range_violation
1807,price,range_violation
1458,price,range_violation
1678,price,range_violation
1091,price,range_violation
660,price,range_violation
536,price,range_violation
1216,price,range_violation
1837,price,range_violation
1153,price,range_violation
1931,price,range_violation
143,price,range_violation
2035,price,range_violation
1463,price,range_violation
341,price,range_violation
1119,price,range_violation
2009,price,range_violation
1096,price,range_violation
2401,price,range_violation
1261,price,range_violation
878,price,range_violation
871,price,range_violation
106,price,range_violation
1827,price,range_violation
955,price,range_violation
2406,price,range_violation
1280,price,range_violation
448,price,range_violation
667,price,range_violation
1204,price,range_violation
533,price,range_violation
501,price,range_violation
94,quantity,range_violation
1571,quantity,range_violation
627,quantity,range_violation
2395,quantity,range_violation
2372,quantity,range_violation
272,quantity,range_violation
682,quantity,range_violation
1741,quantity,range_violation
983,quantity,range_violation
918,quantity,range_violation
1729,quantity,range_violation
902,quantity,range_violation
1367,quantity,range_violation
555,quantity,range_violation
2055,quantity,range_violation
798,quantity,range_violation
453,quantity,range_violation
1666,quantity,range_violation
1575,quantity,range_violation
2124,quantity,range_violation
1008,quantity,range_violation
78,quantity,range_violation
1698,quantity,range_violation
539,quantity,range_violation
759,quantity,range_violation
1148,quantity,range_violation
1214,quantity,range_violation
116,quantity,range_violation
1147,quantity,range_violation
201,quantity,range_violation
16,quantity,range_violation
1743,quantity,range_violation
1397,quantity,range_violation
2353,quantity,range_violation
2470,quantity,range_violation
589,status,category_inconsistency
531,status,category_inconsistency
1734,status,category_inconsistency
1444,status,category_inconsistency
1758,status,category_inconsistency
1989,status,category_inconsistency
1265,status,category_inconsistency
406,status,category_inconsistency
685,status,category_inconsistency
1617,status,category_inconsistency
2168,status,category_inconsistency
223,status,category_inconsistency
2163,status,category_inconsistency
2230,status,category_inconsistency
1711,status,category_inconsistency
2012,status,category_inconsistency
1152,status,category_inconsistency
2435,status,category_inconsistency
802,status,category_inconsistency
1329,status,category_inconsistency
1580,status,category_inconsistency
1054,status,category_inconsistency
522,status,category_inconsistency
1447,status,category_inconsistency
2376,status,category_inconsistency
722,status,category_inconsistency
472,status,category_inconsistency
673,status,category_inconsistency
1366,status,category_inconsistency
753,status,category_inconsistency
1998,status,category_inconsistency
572,status,category_inconsistency
2246,status,category_inconsistency
171,status,category_inconsistency
677,status,category_inconsistency
1156,payment_method,category_inconsistency
155,payment_method,category_inconsistency
2206,payment_method,category_inconsistency
172,payment_method,category_inconsistency
1511,payment_method,category_inconsistency
1421,payment_method,category_inconsistency
1644,payment_method,category_inconsistency
347,payment_method,category_inconsistency
2207,payment_method,category_inconsistency
1003,payment_method,category_inconsistency
1098,payment_method,category_inconsistency
1302,payment_method,category_inconsistency
372,payment_method,category_inconsistency
1011,payment_method,category_inconsistency
2222,payment_method,category_inconsistency
800,payment_method,category_inconsistency
1394,payment_method,category_inconsistency
1710,payment_method,category_inconsistency
1576,payment_method,category_inconsistency
2079,payment_method,category_inconsistency
1359,payment_method,category_inconsistency
2102,payment_method,category_inconsistency
27,payment_method,category_inconsistency
968,payment_method,category_inconsistency
336,payment_method,category_inconsistency
919,payment_method,category_inconsistency
1502,payment_method,category_inconsistency
484,payment_method,category_inconsistency
558,payment_method,category_inconsistency
229,payment_method,category_inconsistency
2446,payment_method,category_inconsistency
540,payment_method,category_inconsistency
580,payment_method,category_inconsistency
1250,payment_method,category_inconsistency
1950,payment_method,category_inconsistency
6,order_id,duplicate_row
13,order_id,duplicate_row
15,order_id,duplicate_row
180,order_id,duplicate_row
235,order_id,duplicate_row
249,order_id,duplicate_row
251,order_id,duplicate_row
267,order_id,duplicate_row
332,order_id,duplicate_row
349,order_id,duplicate_row
374,order_id,duplicate_row
375,order_id,duplicate_row
432,order_id,duplicate_row
436,order_id,duplicate_row
438,order_id,duplicate_row
443,order_id,duplicate_row
460,order_id,duplicate_row
532,order_id,duplicate_row
619,order_id,duplicate_row
770,order_id,duplicate_row
804,order_id,duplicate_row
831,order_id,duplicate_row
936,order_id,duplicate_row
941,order_id,duplicate_row
954,order_id,duplicate_row
998,order_id,duplicate_row
1065,order_id,duplicate_row
1074,order_id,duplicate_row
1099,order_id,duplicate_row
1187,order_id,duplicate_row
1188,order_id,duplicate_row
1201,order_id,duplicate_row
1222,order_id,duplicate_row
1234,order_id,duplicate_row
1239,order_id,duplicate_row
1251,order_id,duplicate_row
1259,order_id,duplicate_row
1310,order_id,duplicate_row
1325,order_id,duplicate_row
1343,order_id,duplicate_row
1374,order_id,duplicate_row
1460,order_id,duplicate_row
1478,order_id,duplicate_row
1525,order_id,duplicate_row
1531,order_id,duplicate_row
1583,order_id,duplicate_row
1592,order_id,duplicate_row
1594,order_id,duplicate_row
1602,order_id,duplicate_row
1674,order_id,duplicate_row
1737,order_id,duplicate_row
1757,order_id,duplicate_row
1778,order_id,duplicate_row
1917,order_id,duplicate_row
1921,order_id,duplicate_row
1935,order_id,duplicate_row
1976,order_id,duplicate_row
1993,order_id,duplicate_row
2040,order_id,duplicate_row
2097,order_id,duplicate_row
2099,order_id,duplicate_row
2200,order_id,duplicate_row
2223,order_id,duplicate_row
2265,order_id,duplicate_row
2340,order_id,duplicate_row
2342,order_id,duplicate_row
2356,order_id,duplicate_row
2380,order_id,duplicate_row
2416,order_id,duplicate_row
2419,order_id,duplicate_row
2500,order_id,duplicate_row
2501,order_id,duplicate_row
2502,order_id,duplicate_row
2503,order_id,duplicate_row
2504,order_id,duplicate_row
2505,order_id,duplicate_row
